,accession#,sentences,num_chars
772,0000949377-13-000157,"as a result, the value of your investment in the fund will fluctuate, sometimes sharply and unpredictably, and you could lose money over short or long periods of time.",167
773,0000949377-13-000157,the prices of small-cap securities are generally more volatile and their markets are less liquid relative to larger-cap securities.,131
774,0000949377-13-000157,"therefore, the fund may involve considerably more risk of loss and its returns may differ significantly from funds investing in larger-cap companies or other asset classes.",172
775,0000949377-13-000157,"the funds investment in a limited number of issuers and its potential industry and sector overweights may also involve more risk to investors than a more broadly diversified portfolio of small-cap securities because it may be more susceptible to any single corporate, economic, political, regulatory, or market event.",317
776,0000949377-13-000157,"investment in foreign securities involves risks that may not be encountered in u.s. investments, including adverse political, social, economic, or other developments that are unique to a particular region or country.",216
777,0000949377-13-000157,"prices of foreign securities in particular countries or regions may, at times, move in a different direction and/or be more volatile than those of u.s. securities.",163
778,0000949377-13-000157,"because the fund does not intend to hedge its foreign currency exposure, the u.s. dollar value of the funds investments may be harmed by declines in the value of foreign currencies in relation to the u.s. dollar.",212
779,0000949377-13-000157,"royces estimate of a companys current worth may prove to be inaccurate, or this estimate may not be recognized by other investors, which could lead to portfolio losses.",168
780,0000949377-13-000157,investments in the fund are not bank deposits and are not insured or guaranteed by the federal deposit insurance corporation or any other government agency.,156
781,0000949377-13-000157,performance the following performance information provides an indication of the risks of investing in the fund.,111
782,0000949377-13-000157,past performance does not indicate how the fund will perform in the future.,75
783,0000949377-13-000157,the calendar year total returns chart shows performance year by year over the last ten years.,93
784,0000949377-13-000157,"the annualized total returns table shows how the funds average annual total returns for various periods compare with those of the russell 2000 index, the funds benchmark index.",176
785,0000949377-13-000157,"the w class commenced operations on may 19, 2005. performance information prior to that date is for the investment class, not offered in this prospectus, which has substantially similar returns because all classes invest in the same portfolio of securities, differing only to the extent that the classes have different expenses.",328
786,0000949377-13-000157,calendar year total returns in percentages (%) during the period shown in the,77
787,0001104659-19-024682,"  as with any mutual fund, the value of the funds investments, and therefore the value of your shares, may go up or down and you could lose money.",146
788,0001104659-19-024682,there is no guarantee that the fund will achieve its investment goal.,69
789,0001104659-19-024682,an investment in the fund is not a deposit of a bank and is not insured or guaranteed by the federal deposit insurance corporation or any other government agency.,162
790,0001104659-19-024682,italicized  terms refer to other principal risks described below.,65
791,0001104659-19-024682,"the fund may be affected by the following principal risks:         equity securities risk:  equity securities tend to go up or down in value, sometimes rapidly and unpredictably.",178
792,0001104659-19-024682,"industry concentration risk:  concentrating investments in a particular industry or group of industries makes the fund more susceptible to adverse economic, business, regulatory or other developments affecting that industry or related industries.",246
793,0001104659-19-024682,"because the fund may concentrate in the securities of a particular industry or group of industries to the same approximate extent as its index, the fund may perform poorly during a downturn in that industry or group of industries.",230
794,0001104659-19-024682,"issuer risk:  the value of a security or instrument may decline for reasons directly related to the issuer of the security or instrument, such as reduced demand for the issuers goods or services.",195
795,0001104659-19-024682,"large-capitalization companies risk:  although large-capitalization companies tend to have more stable prices than smaller, less established companies, they are still subject to  equity securities risk.",202
796,0001104659-19-024682,"in addition, their prices may not rise as much as the prices of companies with smaller market capitalizations.",110
797,0001104659-19-024682,market and regulatory risk:  events in the financial markets and economy may cause volatility and uncertainty and adversely impact the funds performance.,153
798,0001104659-19-024682,"market events may affect a single issuer, industry, sector, or the market as a whole.",85
799,0001104659-19-024682,traditionally liquid investments may experience periods of diminished liquidity.,80
800,0001104659-19-024682,"governmental and regulatory actions, including tax law changes, may also impair portfolio management and have unexpected or adverse consequences on particular markets, strategies, or investments.",195
801,0001104659-19-024682,"passive management risk:  a passively managed (or index) fund generally holds constituent securities of its benchmark index regardless of performance, which could cause the index funds return to be lower than an actively managed fund (which generally seeks to outperform a benchmark index).",290
802,0001104659-19-024682,such fund will also perform poorly when the index performs poorly.,66
803,0001104659-19-024682,"in addition, an index fund has operating and other expenses while an index does not.",84
804,0001104659-19-024682,"as such, an index fund will tend to underperform the index to some degree over time even though it will attempt to track its index as closely as possible.",154
805,0001104659-19-024682,"price volatility risk:  to the extent the fund invests in investments whose value may go up or down rapidly or unpredictably, the funds value may also go up or down rapidly or unpredictably.",190
806,0001104659-19-024682,"price volatility can be caused by many factors, including changes in the economy or financial markets or for reasons specific to a particular issuer.",149
807,0001104659-19-024682,"tracking error risk:  performance of the fund may vary, sometimes substantially, from the performance of its benchmark index due to imperfect correlation between the funds investments and the index.",198
808,0001104659-19-024682,"underlying fund risk : because the fund may serve as an underlying fund of one or more fund of funds of the trust and thus have a significant percentage of its outstanding shares held by such fund of funds, a change in asset allocation by the fund of funds could result in large redemptions out of the fund, causing potential increases in expenses to the fund and sale of securities in a short timeframe, both of which could negatively impact performance.",455
809,0001193125-11-150337,"of investing in the portfolio, which could adversely affect its net asset value, yield and total return are: interest rate risk: the risk that fixed income securities will decline in value because of an increase in interest rates; a fund with a longer average portfolio duration will be more sensitive to changes in interest rates than a fund with a shorter average portfolio duration credit risk: the risk that the portfolio could lose money if the issuer or guarantor of a fixed income security, or the counterparty to a derivative contract, is unable or unwilling to meet its financial obligations high yield risk: the risk that high yield securities and unrated securities of similar credit quality (commonly known as junk bonds) are subject to greater levels of credit and liquidity risks.",794
810,0001193125-11-150337,"high yield securities are considered primarily speculative with respect to the issuers continuing ability to make principal and interest payments market risk: the risk that the value of securities owned by the portfolio may go up or down, sometimes rapidly or unpredictably, due to factors affecting securities markets generally or particular industries issuer risk: the risk that the value of a security may decline for reasons directly related to the issuer, such as management performance, financial leverage and reduced demand for the issuers goods or service liquidity risk: the risk that a particular investment may be difficult to purchase or sell and that the portfolio may be unable to sell illiquid securities at an advantageous time or price or achieve its desired level of exposure to a certain sector derivatives risk: the risk of investing in derivative instruments, including liquidity, interest rate, market, credit and management risks, mispricing or improper valuation.",987
811,0001193125-11-150337,"changes in the value of the derivative may not correlate perfectly with the underlying asset, rate or index, and the portfolio could lose more than the principal amount invested equity risk: the risk that the value of equity or equity-related securities may decline due to general market conditions which are not specifically related to a particular company or to factors affecting a particular industry or industries.",418
812,0001193125-11-150337,"equity or equity-related securities generally have greater price volatility than fixed income securities mortgage-related and other asset-backed risk: the risks of investing in mortgage-related and other asset-backed securities, including interest rate risk, extension risk and prepayment risk foreign (non-u.s.) investment risk: the risk that investing in foreign (non-u.s.) securities may result in the portfolio experiencing more rapid and extreme changes in value than a fund that invests exclusively in securities of u.s. companies, due to smaller markets, differing reporting, accounting and auditing standards, and nationalization, expropriation or confiscatory taxation, currency blockage, or political changes or diplomatic developments.",746
813,0001193125-11-150337,"foreign securities may also be less liquid and more difficult to value than securities of u.s. issuers emerging markets risk: the risk of investing in emerging market securities, primarily increased foreign (non-u.s.) investment risk currency risk: the risk that foreign currencies will decline in value relative to the u.s. dollar and affect the portfolios investments in foreign (non-u.s.) currencies or in securities that trade in, and receive revenues in, or in derivatives that provide exposure to, foreign (non-u.s.) currencies issuer non-diversification risk: the risks of focusing investments in a small number of issuers, including being more susceptible to risks associated with a single economic, political or regulatory occurrence than a more diversified portfolio might be.",786
814,0001193125-11-150337,"portfolios that are non-diversified may invest a greater percentage of their assets in the securities of a single issuer (such as bonds issued by a particular state) than funds that are diversified leveraging risk: the risk that certain transactions of the portfolio, such as reverse repurchase agreements, loans of portfolio securities, and the use of when-issued, delayed delivery or forward commitment transactions, or derivative instruments, may give rise to leverage, causing the portfolio to be more volatile than if it had not been leveraged management risk: the risk that the investment techniques and risk analyses applied by pimco will not produce the desired results and that legislative, regulatory, or tax developments may affect the investment techniques available to pimco and the individual portfolio manager in connection with managing the portfolio.",867
815,0001193125-11-150337,"there is no guarantee that the investment objective of the portfolio will be achieved short sale risk: the risk of entering into short sales, including the potential loss of more money than the actual cost of the investment, and the risk that the third party to the short sale may fail to honor its contract terms, causing a loss to the portfolio please see description of principal risks in the portfolios prospectus for a more detailed description of the risks of investing in the portfolio.",493
816,0001193125-11-150337,an investment in the portfolio is not a deposit of a bank and is not insured or guaranteed by the federal deposit insurance corporation or any other government agency.,167
817,0001193125-11-150337,p erformance i nformation the performance information below shows summary,73
818,0001193125-13-191531,"of investing in the series, which could adversely affect its net asset value and total return, are as follows.",110
819,0001193125-13-191531,equity securities risk the value of a companys stock may decline in response to factors affecting that particular company or stock markets generally.,149
820,0001193125-13-191531,investment style risk a mutual fund investing principally in value style stocks may at times underperform other mutual funds that invest more broadly or that have different investment styles.,191
821,0001193125-13-191531,overweighting risk overweighting investments in an industry or group of industries relative to the series primary benchmark increases the risk that the series will underperform its primary benchmark because a general decline in the prices of stocks in that industry or group of industries will affect the series to a greater extent than its primary benchmark.,359
822,0001193125-13-191531,"underweighting risk if the series underweights its investment in an industry or group of industries relative to the series primary benchmark, the series will participate in any general increase in the value of companies in that industry or group of industries to a lesser extent than the series primary benchmark.",313
823,0001193125-13-191531,"foreign securities risk foreign securities are subject to political, regulatory, and economic risks not present in domestic investments.",136
824,0001193125-13-191531,"in addition, when the series buys securities denominated in a foreign currency, there are special risks such as changes in currency exchange rates and the risk that a foreign government could regulate foreign exchange transactions.",231
825,0001193125-13-191531,"in addition, to the extent that investments are made in a limited number of countries, events in those countries will have a more significant impact on the series.",163
826,0001193125-13-191531,"cash position risk to the extent that the series holds assets in cash and cash equivalents and not in the investments previously described, the ability of the series to meet its objective may be limited.",203
827,0001193125-13-191531,liquidity risk lack of a ready market or restrictions on resale may limit the ability of the series to sell a security at an advantageous time or price.,152
828,0001193125-13-191531,"in addition, the series by itself or together with other accounts managed by rs investments, 02    summary prospectus rs large cap alpha vip series may hold a position in a security that is large relative to the typical trading volume for that security, which can make it difficult for the series to dispose of the position at an advantageous time or price.",357
829,0001193125-13-191531,"natural resources investment risk investment in companies in natural resources industries can be significantly affected by (often rapid) changes in supply of, or demand for, various natural resources.",200
830,0001193125-13-191531,"they may also be affected by changes in energy prices, international political and economic developments, environmental incidents, energy conservation, the success of exploration projects, changes in commodity prices, and tax and other government regulations.",259
831,0001193125-13-191531,"investments in interests in oil, gas or mineral exploration or development programs, including pipelines, may be held through master limited partnerships (mlps), which are generally subject to many of the risks that apply to partnerships and may also be subject to certain tax risks.",283
832,0001193125-13-191531,"limited portfolio risk to the extent the series invests its assets in a more limited number of issuers than many other mutual funds, a decline in the market value of a particular security may affect the series value more than if the series invested in a larger number of issuers.",279
833,0001193125-13-191531,"mid-sized companies risk mid-sized companies may be subject to a number of risks not associated with larger, more established companies, potentially making their stock prices more volatile and increasing the risk of loss.",221
834,0000898531-13-000124,"although a portion of the funds portfolio is invested in u.s. treasury securities, there are market and investment risks associated with your investment in the fund, as there are with any security.",197
835,0000898531-13-000124,the value of your investment will fluctuate over time and it is possible to lose money.,87
836,0000898531-13-000124,"the principal risks of investing in the fund include the following: market risk: the market value of a security may move up or down, and these fluctuations may cause a security to be worth more or less than the price originally paid for it.",240
837,0000898531-13-000124,"market risk may affect a single company, industry, sector of the economy or the market as a whole.",98
838,0000898531-13-000124,"the value of equity securities will fluctuate due to many factors, including the past and predicted earnings of the issuer, the quality of the issuer's management, general market conditions, forecasts for the issuer's industry and the value of the issuer's assets.",264
839,0000898531-13-000124,"formula investing risk: the fund will adhere to its strategy during the course of the year, subject to applicable securities and exchange commission requirements and federal tax requirements relating to mutual funds, despite any adverse developments that may arise.",265
840,0000898531-13-000124,"this could result in substantial losses to the fund, if for example, the stocks selected for the funds portfolio for a given year are experiencing financial difficulty, or are out of favor in the market because of weak performance, a poor earnings forecast, negative publicity or general market cycles.",302
841,0000898531-13-000124,"the funds portfolio is rebalanced annually in accordance with its strategy, which may result in the elimination of better performing assets from the funds investments and increases in investments with relatively lower total return.",231
842,0000898531-13-000124,"non-diversification risk: the fund is non-diversified, meaning it is likely to invest in fewer stocks than a diversified fund.",126
843,0000898531-13-000124,the fund may be more volatile because each stock in which it invests will have greater impact on the funds performance.,119
844,0000898531-13-000124,borrowing risk: the fund borrows against its investments.,57
845,0000898531-13-000124,"purchasing treasury/government securities with borrowed money is an investment technique that increases investment risk because if the securities purchased with borrowed money decline in value, the funds losses would be greater than if it had not.",247
846,0000898531-13-000124,"also, the fund will incur interest costs when it borrows money, which costs may exceed the investment returns it earns on the securities purchased with borrowed money.",167
847,0000898531-13-000124,performance information the following performance information provides some indication of the risks of investing in the hennessy total return fund by showing changes in its performance from year to year and how the funds average annual returns compare with the s&p 500 index (a broad measure of market performance) and the djia.,328
848,0000898531-13-000124,"for additional information on these indices, please see index descriptions on page 67 of the prospectus.",104
849,0000898531-13-000124,the funds past performance (before and after taxes) is not necessarily an indication of future performance.,107
850,0000898531-13-000124,performance may be higher or lower in the future.,49
851,0000898531-13-000124,updated performance information is available on the funds website (http://www.hennessyfunds.com).,97
852,0000898531-13-000124,calendar year total returns for the period shown on the,55
853,0000928816-20-000098,.,1
854,0000928816-20-000098,"interest\nrate risk is generally greater for longer-term bonds, and credit risk is generally greater for below-investment-grade bonds (a\nsignificant part of the fund&#8217;s investments), which may be considered speculative.",225
855,0000928816-20-000098,"mortgage-backed investments, unlike traditional\ndebt investments, are also subject to prepayment risk, which means that they may increase in value less than other bonds when interest\nrates decline and decline in value more than other bonds when interest rates rise.",267
856,0000928816-20-000098,"we may have to invest the proceeds from prepaid\ninvestments, including mortgage-backed investments, in other investments with less attractive terms and yields.",160
857,0000928816-20-000098,the value of international\ninvestments traded in foreign currencies may be adversely impacted by fluctuations in exchange rates.,129
858,0000928816-20-000098,"international investments,\nparticularly investments in emerging markets, may carry risks associated with potentially less stable economies or governments\n(such as the risk of seizure by a foreign government, the imposition of currency or other restrictions, or high levels of inflation),\nand may be or become illiquid.",321
859,0000928816-20-000098,"\n our use of\nderivatives may increase the risks of investing in the fund by increasing investment exposure (which may be considered leverage)\nor, in the case of many over-the-counter instruments, because of the potential inability to terminate or sell derivatives positions\nand the potential failure of the other party to the instrument to meet its obligations.",365
860,0000928816-20-000098,"\n  \n \n \n 4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; \n   \n \n \n \n &nbsp; \n\n the fund may\nnot achieve its goal, and it is not intended to be a complete investment program.",199
861,0000928816-20-000098,an investment in the fund is not insured or guaranteed\nby the federal deposit insurance corporation or any other government agency.,132
862,0000928816-20-000098,\n performance \n the performance\ninformation below gives some indication of the risks associated with an investment in the fund by showing the fund&#8217;s,157
863,0001104659-12-085009,"you could lose money on an investment in the fund, even near, at, or after the target date.",91
864,0001104659-12-085009,there is no guarantee that the fund will provide adequate income at and through your retirement or for any of your financial goals.,131
865,0001104659-12-085009,the value of your investment in the fund changes with the values of the underlying funds and their investments.,111
866,0001104659-12-085009,"any of the following risks, among others, could affect the funds or an underlying funds performance or cause the fund or an underlying fund to lose money or to underperform market averages of other funds.",204
867,0001104659-12-085009,asset allocation assets will be allocated among underlying funds and markets based on judgments by the adviser.,111
868,0001104659-12-085009,there is a risk that the fund may allocate assets to an underlying fund or asset class that underperforms other funds or asset classes.,135
869,0001104659-12-085009,"call during periods of falling interest rates, a bond issuer may call or repay its high-yielding bond before the bonds maturity date.",133
870,0001104659-12-085009,"if forced to invest the unanticipated proceeds at lower interest rates, an underlying fund would experience a decline in income.",128
871,0001104659-12-085009,commodities the operations and financial performance of companies in natural resources industries may be directly affected by commodity prices.,143
872,0001104659-12-085009,this risk is exacerbated for those natural resources companies that own the underlying commodity.,97
873,0001104659-12-085009,"summary prospectus 2 of 4 ing retirement solution 2055 fund company the price of a given companys stock could decline or underperform for many reasons including, among others, poor management, financial problems, or business challenges.",236
874,0001104659-12-085009,"if a company declares bankruptcy or becomes insolvent, its stock could become worthless.",88
875,0001104659-12-085009,"credit prices of bonds and other debt securities can fall if the issuers actual or perceived financial health deteriorates, whether because of broad economic or issuer-specific reasons.",185
876,0001104659-12-085009,"in certain cases, the issuer could be late in paying interest or principal, or could fail to pay altogether.",108
877,0001104659-12-085009,"credit default swaps an underlying fund may enter into credit default swaps, either as a buyer or a seller of the swap.",119
878,0001104659-12-085009,"as a buyer of the swap, an underlying fund pays a fee to protect against the risk that a security held by the underlying fund will default.",139
879,0001104659-12-085009,"as a seller of the swap, an underlying fund receives payment(s) in return for its obligation to pay the counterparty an agreed upon value of a security in the event of a default of the security issuer.",201
880,0001104659-12-085009,"credit default swaps are largely unregulated and susceptible to liquidity, credit, and counterparty risks.",106
881,0001104659-12-085009,"currency to the extent that an underlying fund invests directly in foreign currencies or in securities denominated in, or that trade in, foreign (non-u.s.) currencies, it is subject to the risk that those currencies will decline in value relative to the u.s. dollar or, in the case of hedging positions, that the u.s. dollar will decline in value relative to the currency being hedged.",385
882,0001104659-12-085009,"derivative instruments derivative instruments are subject to a number of risks, including the risk of changes in the market price of the underlying securities, credit risk with respect to the counterparty, risk of loss due to changes in interest rates and liquidity risk.",271
883,0001104659-12-085009,the use of certain derivatives may also have a leveraging effect which may increase the volatility of the fund or an underlying fund and reduce its returns.,156
884,0001104659-12-085009,"foreign investments/developing and emerging markets investing in foreign (non-u.s.) securities may result in the underlying funds experiencing more rapid and extreme changes in value than a fund that invests exclusively in securities of u.s. companies due to: smaller markets; differing reporting, accounting, and auditing standards; nationalization, expropriation, or confiscatory taxation; foreign currency fluctuations, currency blockage, or replacement; potential for default on sovereign debt; or political changes or diplomatic developments.",547
885,0001104659-12-085009,foreign investment risks may be greater in developing and emerging markets than in developed markets.,101
886,0001104659-12-085009,high-yield securities investments rated below investment-grade (or of similar quality if unrated) are known as high-yield securities or junk bonds.,147
887,0001104659-12-085009,high-yield securities are subject to greater levels of credit and liquidity risks.,82
888,0001104659-12-085009,high-yield securities are considered primarily speculative with respect to the issuers continuing ability to make principal and interest payments.,146
889,0001104659-12-085009,"inflation-indexed bonds if the index measuring inflation falls, the principal value of inflation-indexed bonds will be adjusted downward, and consequently the interest payable on these securities (calculated with respect to a smaller principal amount) will be reduced.",268
890,0001104659-12-085009,repayment of the original bond principal upon maturity (as adjusted for inflation) is guaranteed in the case of u.s. treasury inflation-indexed bonds.,150
891,0001104659-12-085009,"for bonds that do not provide a similar guarantee, the adjusted principal value of the bond repaid at maturity may be less than the original principal.",151
892,0001104659-12-085009,"interest rate with bonds and other fixed rate debt securities, a rise in interest rates generally causes values to fall; conversely, values generally rise as interest rates fall.",178
893,0001104659-12-085009,"the higher the credit quality of the security, and the longer its maturity or duration, the more sensitive it is likely to be to interest rate risk.",148
894,0001104659-12-085009,"liquidity if a security is illiquid, an underlying fund might be unable to sell the security at a time when the manager might wish to sell, and the security could have the effect of decreasing the overall level of an underlying funds liquidity.",244
895,0001104659-12-085009,"further, the lack of an established secondary market may make it more difficult to value illiquid securities, which could vary from the amount an underlying fund could realize upon disposition.",193
896,0001104659-12-085009,an underlying fund may make investments that become less liquid in response to market developments or adverse investor perception.,130
897,0001104659-12-085009,an underlying fund could lose money if it cannot sell a security at the time and price that would be most beneficial to an underlying fund.,139
898,0001104659-12-085009,market stock prices may be volatile and are affected by the real or perceived impacts of such factors as economic conditions and political events.,146
899,0001104659-12-085009,"the stock market tends to be cyclical, with periods when stock prices generally rise and periods when stock prices generally decline.",133
900,0001104659-12-085009,"any given stock market segment may remain out of favor with investors for a short or long period of time, and stocks as an asset class may underperform bonds or other asset classes during some periods.",201
901,0001104659-12-085009,"from time to time, the stock market may not favor the growth- or value-oriented securities in which the underlying funds invest.",128
902,0001104659-12-085009,"rather, the market could favor securities to which the underlying funds are not exposed or may not favor equities at all.",121
903,0001104659-12-085009,"market capitalization stocks fall into three broad market capitalization categories - large, mid, and small.",108
904,0001104659-12-085009,"investing primarily in one category carries the risk that, due to current market conditions, that category may be out of favor with investors.",142
905,0001104659-12-085009,"if valuations of large-capitalization companies appear to be greatly out of proportion to the valuations of mid- or small-capitalization companies, investors may migrate to the stocks of mid- and small-sized companies causing an underlying fund that invests in these companies to increase in value more rapidly than a fund that invests in larger, fully-valued companies.",370
906,0001104659-12-085009,"investing in mid- and small-capitalization companies may be subject to special risks associated with narrower product lines, more limited financial resources, smaller management groups, and a more limited trading market for their stocks as compared with larger companies.",271
907,0001104659-12-085009,"as a result, stocks of mid- and small-capitalization companies may decline significantly in market downturns.",109
908,0001104659-12-085009,"other investment companies the main risk of investing in other investment companies, including exchange-traded funds, is the risk that the value of the securities underlying an investment company might decrease.",211
909,0001104659-12-085009,"because the fund or an underlying fund may invest in other investment companies, you will pay a proportionate share of the expenses of those other investment summary prospectus 3 of 4 ing retirement solution 2055 fund companies (including management fees, administration fees, and custodial fees) in addition to the expenses of the fund and a proportionate share of the expenses of each underlying fund.",403
910,0001104659-12-085009,"real estate companies and real estate investment trusts (reits) investing in real estate companies and reits may subject an underlying fund to risks similar to those associated with the direct ownership of real estate, including losses from casualty or condemnation, changes in local and general economic conditions, supply and demand, interest rates, zoning laws, regulatory limitations on rents, property taxes, and operating expenses in addition to terrorist attacks, war, or other acts that destroy real property.",517
911,0001104659-12-085009,sovereign debt these securities are issued or guaranteed by foreign government entities.,88
912,0001104659-12-085009,"investments in sovereign debt are subject to the risk that a government entity may delay payment, restructure its debt, or refuse to pay interest or repay principal on its sovereign debt.",187
913,0001104659-12-085009,"some of these reasons may include cash flow problems, insufficient foreign currency reserves, political considerations, the relative size of its debt position to its economy or its failure to put in place economic reforms required by the international monetary fund or other multilateral agencies.",297
914,0001104659-12-085009,"if a government entity defaults, it may ask for more time in which to pay or for further loans.",95
915,0001104659-12-085009,there is no legal process for collecting sovereign debts that a government does not pay or bankruptcy proceeding by which all or part of sovereign debt that a government entity has not repaid may be collected.,209
916,0001104659-12-085009,"an investment in the fund is not a bank deposit and is not insured or guaranteed by the federal deposit insurance corporation, the federal reserve board or any other government agency.",184
917,0001623632-15-000097,of investing in the fund?,25
918,0001623632-15-000097,all mutual funds take investment risks.,39
919,0001623632-15-000097,"therefore, it is possible to lose money by investing in the fund.",65
920,0001623632-15-000097,the primary factors that may reduce the fund's returns include:  currency risk.,79
921,0001623632-15-000097,exchange rates for currencies fluctuate daily.,46
922,0001623632-15-000097,"as a result, the value of the fund's foreign investments and the value of its shares may be affected favorably or unfavorably by changes in currency exchange rates relative to the u.s. dollar.",192
923,0001623632-15-000097,eurozone related risk.,22
924,0001623632-15-000097,"a number of countries in the european union (eu) have experienced, and may continue to experience, severe economic and financial difficulties.",142
925,0001623632-15-000097,additional eu member countries may also fall subject to such difficulties.,74
926,0001623632-15-000097,"these events could negatively affect the value and liquidity of the fund's investments in euro-denominated securities and derivatives contracts, securities of issuers located in the eu or with significant exposure to eu issuers or countries.",241
927,0001623632-15-000097,interest rate risk.,19
928,0001623632-15-000097,prices of fixed-income securities generally fall when interest rates rise.,74
929,0001623632-15-000097,issuer credit risk.,19
930,0001623632-15-000097,it is possible that interest or principal on securities will not be paid when due.,82
931,0001623632-15-000097,non-investment grade securities generally have a higher default risk than investment-grade securities.,102
932,0001623632-15-000097,"such non-payment or default may reduce the value of the fund's portfolio holdings, its share price and its performance.",119
933,0001623632-15-000097,counterparty credit risk.,25
934,0001623632-15-000097,credit risk includes the possibility that a party to a transaction involving the fund will fail to meet its obligations.,120
935,0001623632-15-000097,this could cause the fund to lose the benefit of the transaction or prevent the fund from selling or buying other securities to implement its investment strategy.,162
936,0001623632-15-000097,risk of foreign investing.,26
937,0001623632-15-000097,"because the fund may invest in securities issued by foreign companies, the fund's share price may be more affected by foreign economic and political conditions, taxation policies and accounting and auditing standards than could otherwise be the case.",250
938,0001623632-15-000097,liquidity risk.,15
939,0001623632-15-000097,"trading opportunities are more limited for fixed-income securities that have not received any credit ratings, have received any credit ratings below investment grade or are not widely held.",189
940,0001623632-15-000097,leverage risk.,14
941,0001623632-15-000097,"leverage risk is created when an investment, which includes, for example, an investment in a derivative contract, exposes the fund to a level of risk that exceeds the amount invested.",183
942,0001623632-15-000097,changes in the value of such an investment magnify the fund's risk of loss and potential for gain.,98
943,0001623632-15-000097,risk of investing in emerging market countries.,47
944,0001623632-15-000097,securities issued or traded in emerging markets generally entail greater risks than securities issued or traded in developed markets.,133
945,0001623632-15-000097,"emerging market countries may have 3 relatively unstable governments and may present the risk of nationalization of businesses, expropriation, confiscatory taxation or, in certain instances, reversion to closed market, centrally planned economics.",247
946,0001623632-15-000097,risk associated with noninvestment-grade securities.,52
947,0001623632-15-000097,"securities rated below investment grade may be subject to greater interest rate, credit and liquidity risks than investment-grade securities.",141
948,0001623632-15-000097,risk related to the economy.,28
949,0001623632-15-000097,the value of the fund's portfolio may decline in tandem with a drop in the overall value of the stock market.,109
950,0001623632-15-000097,"economic and financial conditions may from time to time, and for varying periods of time, cause volatility, illiquidity, shareholder redemptions, political and/or other potentially adverse effects in the financial markets.",222
951,0001623632-15-000097,"among other investments, lower grade bond returns are sensitive to changes in the economy.",90
952,0001623632-15-000097,risk of investing in derivative contracts and hybrid instruments.,65
953,0001623632-15-000097,"derivative contracts and hybrid instruments involve risks different from, or possibly greater than, risks associated with investing directly in securities and other traditional investments.",189
954,0001623632-15-000097,"specific risk issues related to the use of such contracts and instruments include valuation and tax issues, increased potential for losses and/or costs to the fund and a potential reduction in gains to the fund.",211
955,0001623632-15-000097,each of these issues is described in greater detail in this prospectus.,71
956,0001623632-15-000097,"derivative contracts and hybrid instruments may also involve other risks described in this prospectus or the fund's statement of additional information (sai), such as interest rate, credit, currency, liquidity and leverage risks.",229
957,0001623632-15-000097,custodial services and related investment costs.,48
958,0001623632-15-000097,custodial services and other costs relating to investment in international securities markets generally are more expensive than in the united states.,149
959,0001623632-15-000097,such markets have settlement and clearance procedures that differ from those in the united states.,98
960,0001623632-15-000097,"in certain markets there have been times when settlements have been unable to keep pace with the volume of securities transactions, making it difficult to conduct such transactions.",181
961,0001623632-15-000097,the inability of the fund to make intended securities purchases due to settlement problems could cause the fund to miss attractive investment opportunities.,156
962,0001623632-15-000097,inability to dispose of a portfolio security caused by settlement problems could result in losses to the fund due to a subsequent decline in value of the portfolio security.,173
963,0001623632-15-000097,"in addition, security settlement and clearance procedures in some emerging countries may not fully protect the fund against loss of its assets.",143
964,0001623632-15-000097,technology risk.,16
965,0001623632-15-000097,"the adviser uses various technologies in managing the fund, consistent with its investment objective and strategy described in this prospectus.",143
966,0001623632-15-000097,"for example, proprietary and third-party data and systems are utilized to support decision making for the fund.",111
967,0001623632-15-000097,"data imprecision, software or other technology malfunctions, programming inaccuracies and similar circumstances may impair the performance of these systems, which may negatively affect fund performance.",202
968,0001623632-15-000097,4 the fund is non-diversified.,30
969,0001623632-15-000097,"compared to diversified mutual funds, it may invest a higher percentage of its assets among fewer issuers of portfolio securities.",130
970,0001623632-15-000097,this increases the fund's risk by magnifying the impact (positively or negatively) that any one issuer has on the fund's share price and performance.,149
971,0001623632-15-000097,"the shares offered by this prospectus are not deposits or obligations of any bank, are not endorsed or guaranteed by any bank and are not insured or guaranteed by the u.s. government, the federal deposit insurance corporation, the federal reserve board or any other government agency.",284
972,0001387131-18-000342,an investment in the fund is not a deposit in any bank and is not insured or guaranteed by the federal deposit insurance corporation or any other government agency.,164
973,0001387131-18-000342,"accordingly, the loss of money is a risk of investing in the fund.",66
974,0001387131-18-000342,"the value of the funds shares and its dividends may fluctuate from day to day and over time, and when you sell your shares they may be worth less than what you paid for them.",174
975,0001387131-18-000342,the following is a summary of the principal risks of investing in the fund.,75
976,0001387131-18-000342,"management risk  the fund is an actively managed portfolio, and the value of the fund may be reduced if thornburg pursues unsuccessful investments or fails to correctly identify risks affecting the broad economy or specific issuers in which the fund invests.",258
977,0001387131-18-000342,"interest rate risk  when interest rates increase, the value of the funds investments may decline and the funds share value may be reduced.",138
978,0001387131-18-000342,this effect is typically more pronounced for intermediate and longer-term obligations.,86
979,0001387131-18-000342,"when interest rates decrease, the funds dividends may decline.",62
980,0001387131-18-000342,"decreases in market interest rates may also result in prepayments of obligations the fund acquires, requiring the fund to reinvest at lower interest rates.",155
